iter	Accuracy	Logloss
678	0.9840175807	0.1033369861
679	0.9841174708	0.1030594334
680	0.9842173609	0.1029265874
681	0.9840175807	0.102673593
682	0.984317251	0.1025025732
683	0.984317251	0.1024646439
684	0.9846169214	0.1022267364
685	0.9845170313	0.1021286826
686	0.9846169214	0.1020213588
687	0.9848167016	0.101829193
688	0.9850164819	0.1017074049
689	0.9850164819	0.1015452094
690	0.985116372	0.1015120939
691	0.9852162621	0.1012043568
692	0.9854160424	0.1008385714
693	0.9853161522	0.1004462543
694	0.9853161522	0.1003282953
695	0.9853161522	0.1001977102
696	0.9853161522	0.1000726622
697	0.9852162621	0.09991978513
698	0.9856158226	0.09960626576
699	0.985915493	0.09937737199
700	0.9864149436	0.09919712354
701	0.9863150534	0.09916109115
702	0.9863150534	0.09892932996
703	0.9864149436	0.09874318307
704	0.9864149436	0.09865017423
705	0.9863150534	0.09842325351
706	0.9863150534	0.09831148032
707	0.9863150534	0.09800412924
708	0.9862151633	0.09791459537
709	0.9863150534	0.09779110704
710	0.9862151633	0.0976247225
711	0.9863150534	0.09748941641
712	0.9864149436	0.09737087383
713	0.9865148337	0.09724478919
714	0.9867146139	0.09695072259
715	0.9871141744	0.09671315556
716	0.9870142843	0.09663420702
717	0.9870142843	0.09660053958
718	0.9871141744	0.096374304
719	0.9872140645	0.09617233231
720	0.9871141744	0.09602285109
721	0.9871141744	0.09597584786
722	0.9872140645	0.09589027995
723	0.9872140645	0.09585747375
724	0.9875137349	0.09571884787
725	0.9873139546	0.0955677351
726	0.9872140645	0.09543314015
727	0.9872140645	0.09534520187
728	0.9872140645	0.09517625568
729	0.9872140645	0.09505016449
730	0.9872140645	0.09484298533
731	0.987613625	0.09459103935
732	0.9874138448	0.09440386115
733	0.9874138448	0.09427689556
734	0.9877135151	0.0941249119
735	0.9877135151	0.09393567947
736	0.9877135151	0.0938602576
737	0.9878134053	0.09363172978
738	0.9880131855	0.09355307891
739	0.9877135151	0.0935128264
740	0.9877135151	0.0934400582
741	0.9877135151	0.09340479802
742	0.9880131855	0.09326529292
743	0.9880131855	0.09307887249
744	0.9882129657	0.09292659905
745	0.9881130756	0.09264061057
746	0.9881130756	0.09247025575
747	0.9881130756	0.09245468839
748	0.9885126361	0.09238477954
749	0.9888123065	0.09202385752
750	0.9887124163	0.09190990383
751	0.9887124163	0.09184194828
752	0.9889121966	0.09172657919
753	0.9889121966	0.09167886945
754	0.9890120867	0.09147262381
755	0.9890120867	0.09132764554
756	0.9890120867	0.09129469717
757	0.9890120867	0.09117320375
758	0.9890120867	0.09105827288
759	0.9891119768	0.09075579651
760	0.9892118669	0.09051891967
761	0.9890120867	0.09033605871
762	0.9889121966	0.09020040352
763	0.9892118669	0.08996489339
764	0.9895115373	0.0898611705
765	0.9896114274	0.08966851616
766	0.9896114274	0.08944637137
767	0.9896114274	0.08926756675
768	0.9896114274	0.08905443525
769	0.9896114274	0.08895134147
770	0.9898112077	0.08875890916
771	0.9900109879	0.08867604805
772	0.9899110978	0.0886155329
773	0.9900109879	0.08823494468
774	0.990110878	0.08819127152
775	0.9902107682	0.08814044341
776	0.9902107682	0.08804005692
777	0.9900109879	0.08789545654
778	0.990110878	0.08782123946
779	0.9902107682	0.08755792907
780	0.9904105484	0.08741297623
781	0.9904105484	0.0873282268
782	0.9906103286	0.08716447229
783	0.9907102188	0.08713593588
784	0.9907102188	0.08703805464
785	0.9910098891	0.0867582116
786	0.9910098891	0.08646748149
787	0.9910098891	0.08641481548
788	0.990909999	0.08626651612
789	0.9907102188	0.08619681065
790	0.9908101089	0.08604584343
791	0.9906103286	0.08591862914
792	0.9906103286	0.08590270513
793	0.9906103286	0.08589775194
794	0.9907102188	0.08583767064
795	0.9908101089	0.08571326741
796	0.9908101089	0.08549259495
797	0.990909999	0.08529533669
798	0.9912096694	0.08518690149
799	0.990909999	0.08503049745
800	0.9910098891	0.08496076448
801	0.9911097792	0.0848989138
802	0.9911097792	0.08481366851
803	0.9910098891	0.08452617863
804	0.9911097792	0.08443829258
805	0.9912096694	0.08430809162
806	0.9911097792	0.08427620283
807	0.9913095595	0.08422552114
808	0.9913095595	0.08414299992
809	0.9913095595	0.08402113888
810	0.9915093397	0.08387035792
811	0.99170912	0.0837953526
812	0.99170912	0.08362124058
813	0.9916092298	0.08341862084
814	0.9916092298	0.08328947197
815	0.9920087903	0.08303913878
816	0.9921086805	0.08300000758
817	0.9921086805	0.08297938575
818	0.9920087903	0.08280542133
819	0.9919089002	0.082700863
820	0.9920087903	0.08266447936
821	0.9921086805	0.08258139768
822	0.9921086805	0.08239032599
823	0.9923084607	0.08226771987
824	0.9927080212	0.08208435081
825	0.9929078014	0.08199680962
826	0.9930076915	0.08180107005
827	0.9930076915	0.08161563752
828	0.9931075817	0.08147314042
829	0.9933073619	0.08126908996
830	0.9931075817	0.08117583139
831	0.9931075817	0.08113112469
832	0.9933073619	0.08101955523
833	0.9933073619	0.08095207645
834	0.9933073619	0.08092136347
835	0.993407252	0.08085931586
836	0.993407252	0.08067779277
837	0.9933073619	0.08064118924
838	0.9932074718	0.08055356084
839	0.993407252	0.08031624448
840	0.993407252	0.08025437122
841	0.9935071421	0.08012758154
842	0.9936070323	0.0800727251
843	0.9935071421	0.0799231391
844	0.993407252	0.07963586703
845	0.993407252	0.07960557709
846	0.9936070323	0.07935102724
847	0.9936070323	0.07922810957
848	0.9935071421	0.07901087329
849	0.9937069224	0.07890667182
850	0.9937069224	0.07874112714
851	0.9936070323	0.07869235417
852	0.9938068125	0.07863168935
853	0.9939067026	0.07839794369
854	0.9939067026	0.078210952
855	0.9938068125	0.07814063568
856	0.9938068125	0.07806903352
857	0.9938068125	0.07791458403
858	0.9939067026	0.07782741314
859	0.9939067026	0.07771412082
860	0.9940065927	0.07762010032
861	0.9940065927	0.07746921942
862	0.9941064829	0.07734523505
863	0.9941064829	0.07724833892
864	0.9940065927	0.07704267166
865	0.9944061532	0.07674214593
866	0.9944061532	0.07666845181
867	0.9945060434	0.07639080941
868	0.9946059335	0.07615955546
869	0.9944061532	0.07606200323
870	0.9943062631	0.0760191429
871	0.9944061532	0.07597504468
872	0.9945060434	0.07593514807
873	0.9945060434	0.07584169877
874	0.9944061532	0.07568998545
875	0.9945060434	0.07562304358
876	0.9945060434	0.07557226975
877	0.9946059335	0.07541742295
878	0.9943062631	0.07532878427
879	0.9944061532	0.07523334289
880	0.9944061532	0.07514590412
